Prime,Buckets,,,Groupings,Label,groupings
2,1 up to 100,,,1,1 up to 100,
3,1 up to 100,,,101,101 up to 200,
5,1 up to 100,,,201,201 up to 300,
7,1 up to 100,,,301,301 up to 400,
11,1 up to 100,,,401,401 up to 500,
13,1 up to 100,,,501,501 up to 600,
17,1 up to 100,,,601,601 up to 700,
19,1 up to 100,,,701,701 up to 800,
23,1 up to 100,,,801,801 up to 900,
29,1 up to 100,,,901,901 up to 1000,
31,1 up to 100,,,1001,1001 up to 1100,
37,1 up to 100,,,1101,1101 up to 1200,
41,1 up to 100,,,1201,1201 up to 1300,
43,1 up to 100,,,1301,1301 up to 1400,
47,1 up to 100,,,1401,1401 up to 1500,
53,1 up to 100,,,1501,1501 up to 1600,
59,1 up to 100,,,1601,1601 up to 1700,
61,1 up to 100,,,1701,1701 up to 1800,
67,1 up to 100,,,1801,1801 up to 1900,
71,1 up to 100,,,1901,1901 up to 2000,
73,1 up to 100,,,2001,2001 up to 2100,
79,1 up to 100,,,2101,2101 up to 2200,
83,1 up to 100,,,2201,2201 up to 2300,
89,1 up to 100,,,2301,2301 up to 2400,
97,1 up to 100,,,2401,2401 up to 2500,
101,101 up to 200,,,2501,2501 up to 2600,
103,101 up to 200,,,2601,2601 up to 2700,
107,101 up to 200,,,2701,2701 up to 2800,
109,101 up to 200,,,2801,2801 up to 2900,
113,101 up to 200,,,2901,2901 up to 3000,
127,101 up to 200,,,3001,3001 up to 3100,
131,101 up to 200,,,3101,3101 up to 3200,
137,101 up to 200,,,3201,3201 up to 3300,
139,101 up to 200,,,3301,3301 up to 3400,
149,101 up to 200,,,3401,3401 up to 3500,
151,101 up to 200,,,3501,3501 up to 3600,
157,101 up to 200,,,3601,3601 up to 3700,
163,101 up to 200,,,3701,3701 up to 3800,
167,101 up to 200,,,3801,3801 up to 3900,
173,101 up to 200,,,3901,3901 up to 4000,
179,101 up to 200,,,4001,4001 up to 4100,
181,101 up to 200,,,4101,4101 up to 4200,
191,101 up to 200,,,4201,4201 up to 4300,
193,101 up to 200,,,4301,4301 up to 4400,
197,101 up to 200,,,4401,4401 up to 4500,
199,101 up to 200,,,4501,4501 up to 4600,
211,201 up to 300,,,4601,4601 up to 4700,
223,201 up to 300,,,4701,4701 up to 4800,
227,201 up to 300,,,4801,4801 up to 4900,
229,201 up to 300,,,4901,4901 up to 5000,
233,201 up to 300,,,5001,5001 up to 5100,
239,201 up to 300,,,5101,5101 up to 5200,
241,201 up to 300,,,5201,5201 up to 5300,
251,201 up to 300,,,5301,5301 up to 5400,
257,201 up to 300,,,5401,5401 up to 5500,
263,201 up to 300,,,5501,5501 up to 5600,
269,201 up to 300,,,5601,5601 up to 5700,
271,201 up to 300,,,5701,5701 up to 5800,
277,201 up to 300,,,5801,5801 up to 5900,
281,201 up to 300,,,5901,5901 up to 6000,
283,201 up to 300,,,6001,6001 up to 6100,
293,201 up to 300,,,6101,6101 up to 6200,
307,301 up to 400,,,6201,6201 up to 6300,
311,301 up to 400,,,6301,6301 up to 6400,
313,301 up to 400,,,6401,6401 up to 6500,
317,301 up to 400,,,6501,6501 up to 6600,
331,301 up to 400,,,6601,6601 up to 6700,
337,301 up to 400,,,6701,6701 up to 6800,
347,301 up to 400,,,6801,6801 up to 6900,
349,301 up to 400,,,6901,6901 up to 7000,
353,301 up to 400,,,7001,7001 up to 7100,
359,301 up to 400,,,7101,7101 up to 7200,
367,301 up to 400,,,7201,7201 up to 7300,
373,301 up to 400,,,7301,7301 up to 7400,
379,301 up to 400,,,7401,7401 up to 7500,
383,301 up to 400,,,7501,7501 up to 7600,
389,301 up to 400,,,7601,7601 up to 7700,
397,301 up to 400,,,7701,7701 up to 7800,
401,401 up to 500,,,7801,7801 up to 7900,
409,401 up to 500,,,7901,7901 up to 8000,
419,401 up to 500,,,8001,8001 up to 8100,
421,401 up to 500,,,8101,8101 up to 8200,
431,401 up to 500,,,8201,8201 up to 8300,
433,401 up to 500,,,8301,8301 up to 8400,
439,401 up to 500,,,8401,8401 up to 8500,
443,401 up to 500,,,8501,8501 up to 8600,
449,401 up to 500,,,8601,8601 up to 8700,
457,401 up to 500,,,8701,8701 up to 8800,
461,401 up to 500,,,8801,8801 up to 8900,
463,401 up to 500,,,8901,8901 up to 9000,
467,401 up to 500,,,9001,9001 up to 9100,
479,401 up to 500,,,9101,9101 up to 9200,
487,401 up to 500,,,9201,9201 up to 9300,
491,401 up to 500,,,9301,9301 up to 9400,
499,401 up to 500,,,9401,9401 up to 9500,
503,501 up to 600,,,9501,9501 up to 9600,
509,501 up to 600,,,9601,9601 up to 9700,
521,501 up to 600,,,9701,9701 up to 9800,
523,501 up to 600,,,9801,9801 up to 9900,
541,501 up to 600,,,9901,9901 up to 10000,
547,501 up to 600,,,10001,10001 up to 10100,
557,501 up to 600,,,10101,10101 up to 10200,
563,501 up to 600,,,10201,10201 up to 10300,
569,501 up to 600,,,10301,10301 up to 10400,
571,501 up to 600,,,10401,10401 up to 10500,
577,501 up to 600,,,10501,10501 up to 10600,
587,501 up to 600,,,10601,10601 up to 10700,
593,501 up to 600,,,10701,10701 up to 10800,
599,501 up to 600,,,10801,10801 up to 10900,
601,601 up to 700,,,10901,10901 up to 11000,
607,601 up to 700,,,11001,11001 up to 11100,
613,601 up to 700,,,11101,11101 up to 11200,
617,601 up to 700,,,11201,11201 up to 11300,
619,601 up to 700,,,11301,11301 up to 11400,
631,601 up to 700,,,11401,11401 up to 11500,
641,601 up to 700,,,11501,11501 up to 11600,
643,601 up to 700,,,11601,11601 up to 11700,
647,601 up to 700,,,11701,11701 up to 11800,
653,601 up to 700,,,11801,11801 up to 11900,
659,601 up to 700,,,11901,11901 up to 12000,
661,601 up to 700,,,12001,12001 up to 12100,
673,601 up to 700,,,12101,12101 up to 12200,
677,601 up to 700,,,12201,12201 up to 12300,
683,601 up to 700,,,12301,12301 up to 12400,
691,601 up to 700,,,12401,12401 up to 12500,
701,701 up to 800,,,12501,12501 up to 12600,
709,701 up to 800,,,12601,12601 up to 12700,
719,701 up to 800,,,12701,12701 up to 12800,
727,701 up to 800,,,12801,12801 up to 12900,
733,701 up to 800,,,12901,12901 up to 13000,
739,701 up to 800,,,13001,13001 up to 13100,
743,701 up to 800,,,13101,13101 up to 13200,
751,701 up to 800,,,13201,13201 up to 13300,
757,701 up to 800,,,13301,13301 up to 13400,
761,701 up to 800,,,13401,13401 up to 13500,
769,701 up to 800,,,13501,13501 up to 13600,
773,701 up to 800,,,13601,13601 up to 13700,
787,701 up to 800,,,13701,13701 up to 13800,
797,701 up to 800,,,13801,13801 up to 13900,
809,801 up to 900,,,13901,13901 up to 14000,
811,801 up to 900,,,14001,14001 up to 14100,
821,801 up to 900,,,14101,14101 up to 14200,
823,801 up to 900,,,14201,14201 up to 14300,
827,801 up to 900,,,14301,14301 up to 14400,
829,801 up to 900,,,14401,14401 up to 14500,
839,801 up to 900,,,14501,14501 up to 14600,
853,801 up to 900,,,14601,14601 up to 14700,
857,801 up to 900,,,14701,14701 up to 14800,
859,801 up to 900,,,14801,14801 up to 14900,
863,801 up to 900,,,14901,14901 up to 15000,
877,801 up to 900,,,15001,15001 up to 15100,
881,801 up to 900,,,15101,15101 up to 15200,
883,801 up to 900,,,15201,15201 up to 15300,
887,801 up to 900,,,15301,15301 up to 15400,
907,901 up to 1000,,,15401,15401 up to 15500,
911,901 up to 1000,,,15501,15501 up to 15600,
919,901 up to 1000,,,15601,15601 up to 15700,
929,901 up to 1000,,,15701,15701 up to 15800,
937,901 up to 1000,,,15801,15801 up to 15900,
941,901 up to 1000,,,15901,15901 up to 16000,
947,901 up to 1000,,,16001,16001 up to 16100,
